target,id,normal_dist,normal_intersec,fft_dist,fft_intersec,manhattan_dist,minkowski_dist,cosine_simil,jaccard_simil
0,dfd5f913,76.651439523579967,672310.60155795154,5.2762194060378079e-05,1.0,665.89089523504174,2.821,0.957,0.0005824111822947001
0,e25388fd,34.406941794675994,1163699.4721135367,2.0338386193241099e-06,1.0,384.69724822033658,1.809,0.953,0.00031357792411414236
1,58b2aaa0,53.654685511272739,2018743.7614677097,9.6101039609488832e-06,1.0000000000000002,721.90448194296187,3.317,0.954,0.00042283298097251583
0,4cfc3a18,61.308585185968745,731344.85605172988,4.3282826905182555e-05,1.0,448.78675541295826,2.041,0.952,0.000488162069807176
0,271f93f4,58.743544898478056,1380520.9993251287,3.1382873001649187e-05,0.99999999999999989,784.23848483020993,3.33,0.965,0.0004346881112801565
1,b51d18b5,52.0877400507364,985138.97378398443,3.7652210388002136e-05,0.99999999999999989,596.16537790894097,2.649,0.954,0.0003878975950349108
1,31da1a04,62.526436732925568,943525.35379808058,1.6986461425383044e-05,1.0,848.81928547949099,3.714,0.953,0.0004495392222971454
0,56929c16,73.071118411883191,1181072.4562193085,1.9660217525734629e-05,1.0,1132.4809618180977,4.857,0.951,0.0005227391531625719
0,525ab75c,51.878275057800863,582956.89026121481,0.00015300950801852971,0.99999999999999989,802.81210641383552,3.095,0.919,0.000306044376434583
0,192f56eb,62.450498569184809,1491672.5983698296,1.7865334341835917e-05,1.0,606.24018954788085,2.754,0.956,0.00051440329218107
1,3aac67cd,67.685106145531407,661341.67866787268,3.0627728979690661e-05,0.99999999999999978,699.22946486466651,3.082,0.956,0.000462962962962963
0,161a6860,60.1215041657032,801387.64018558257,5.935671166351173e-05,1.0,584.21387147389203,2.548,0.949,0.00046051116739580933
1,3c794f0c,48.099496008899344,1003335.4230672481,2.9537352151460938e-05,0.65376137979898419,573.55402098318712,2.643,0.957,0.0003640997633351538
1,86730f0d,68.841148305398903,1665899.8012614916,2.6692776429171364e-05,1.0,1214.1414783493587,4.979,0.956,0.0004955401387512388
0,e356f7a3,42.914926591727195,1459873.2486501059,7.09758401425884e-06,1.0,508.70231820577237,2.368,0.95,0.0003885758694385079
0,87592c38,73.605495811127952,695020.81997863424,2.6137208905048077e-05,0.62549330304315875,625.74967549554049,2.83,0.962,0.0005938242280285036
0,1c18a39e,63.43546921152177,1413297.501776922,2.983735747333605e-05,1.0,1390.0020192428378,5.403,0.959,0.0004344048653344917
0,a210f335,56.977039331252222,1302063.1092095545,3.0134944862705895e-05,1.0,757.08373307027091,3.257,0.965,0.00039737730975561295
0,958d155f,62.072384046011607,840513.00763490202,2.8197248470707633e-05,1.0,644.7228335274682,2.872,0.948,0.00044483985765124553
1,6d81d201,49.305738825234357,2717025.8743568538,5.4132069654875901e-06,1.0,661.24608429471948,3.039,0.973,0.0003763643206624012
0,75126706,71.250925791218165,662342.22169851186,8.5299611657479993e-05,1.0,743.48082474251714,2.993,0.953,0.0005256241787122207
1,112a6cfa,47.617673333135826,1461514.5975508452,2.4770410130761968e-05,1.0,504.68693580850487,2.31,0.954,0.00043830813061582295
0,a29662a4,40.060895426590825,1020732.0223076626,1.1387154366941491e-05,0.90465363379005581,339.37677329260407,1.599,0.965,0.0003372112628561794
1,bd1a1bdf,47.961585977257123,2040038.471758828,2.1249915223475246e-05,0.99999999999999989,876.04318391195352,3.818,0.957,0.0003547986517651233
0,31e37d93,32.822315477788223,1664653.4880713408,2.9759841486564803e-05,1.0000000000000002,366.98348997725492,1.692,0.972,0.00032123353678124
1,76b8d446,58.040496826795291,1489491.2799885215,3.7936358694852732e-06,1.0,516.2834017413976,2.395,0.974,0.00043687199650502403
1,958d42a8,44.785708315107911,1303468.9310627682,2.6435648431102243e-05,0.99999999999999989,538.4769179684381,2.409,0.957,0.0003551136363636364
0,70830858,88.702264721415915,224093.0203380406,7.4471551027087781e-05,1.0,875.05654098926379,3.398,0.959,0.0006459948320413437
1,faf2c49e,67.047119645047275,876939.43474781071,3.7160425595776845e-05,1.0,886.84126442775539,3.695,0.956,0.0004677268475210477
0,02314c59,46.325750834287554,1346099.8715875368,9.6849040212829212e-06,0.99999999999999989,409.75068091515294,1.94,0.955,0.00044672771945499217
0,6332531e,32.104532632413118,2266142.970934405,8.2927732187599966e-06,0.8418847745035607,561.2029411899739,2.642,0.959,0.0002790567880563695
0,c05730c3,22.573969887811099,1620959.1061796008,6.0721619866191438e-06,0.99930846723770439,362.62925477710496,1.799,0.959,0.00028429282160625445
1,83dd3a43,86.423023634877339,142908.68872937732,4.7650142794448438e-05,1.0000000000000002,1354.6520736591124,5.112,0.956,0.0005995203836930455
1,f193e8b0,57.753366885091218,1567996.0339233177,3.6593944022345365e-06,0.91731169207102792,530.54871330263245,2.481,0.965,0.00046685340802987864
1,132118fc,56.766277255305134,1308971.814512243,3.2983790261925837e-05,1.0000000000000002,1566.0449527673063,5.898,0.967,0.0003764351590438547
1,93a797d3,38.6524127777137,2274792.3830980849,4.2705407326296157e-06,1.0,522.67778249843468,2.447,0.966,0.000335401643468053
1,0a192892,50.544386750070885,1540817.5008603386,3.6170003138230257e-05,1.0,913.63267166891194,3.797,0.953,0.0003704389701796629
0,f6a75c6b,31.489611039786386,1482904.6986174798,1.6500130577177446e-05,1.0,395.07642153500689,1.892,0.958,0.00032808398950131233
1,4cfca6da,67.342635941941623,766235.91270794428,5.6734177912990068e-05,1.0,1486.3932650267866,5.531,0.96,0.00045167118337850043
1,a65b9aff,59.480114593561524,964568.26096597326,2.4025269136713957e-05,1.0,585.91827509849725,2.669,0.949,0.00045187528242205153
1,af91525e,49.83643304835045,1438026.3269250582,2.6111803308380625e-05,1.0,571.37150505709701,2.526,0.962,0.0003885758694385079
0,4be9117c,36.034397601085075,840278.22262868448,9.0016599093554954e-06,0.94305596053637963,321.84666080753283,1.563,0.958,0.00034674063800277393
0,3d24353c,28.921013066421924,1519387.1682498129,2.5947233361965606e-05,0.99928888888888889,420.3597479852499,2.091,0.953,0.00029590176061547566
0,66d17828,75.380799483249234,665417.74798086612,3.7711659037657921e-05,1.0,613.30902538267117,2.7,0.957,0.0005486968449931413
0,b78438be,48.284607905467062,983394.19091148546,4.7015725282113301e-05,0.99999921890076549,403.68667162768037,1.845,0.968,0.0003746721618583739
0,91febbeb,30.699597504740776,1513829.0929491839,1.324046565430274e-05,1.0,432.52398288198862,2.038,0.95,0.00033266799733865603
1,ade9a4ab,33.168015686214744,2177389.107161345,8.7156496776350423e-06,0.85804725682925187,476.49851136926338,2.279,0.964,0.00033955857385398983
1,b7e6b182,60.594211853600434,799965.56906097254,4.5416441525130984e-05,1.0,720.00533562922726,3.079,0.939,0.0004202563563773902
0,2e5ba8a2,61.313348572503628,1775692.879745967,2.6645572941991579e-05,1.0000000000000002,1347.9586901165751,5.369,0.96,0.00042052144659377626
1,2336fe9c,62.426448263133068,1029449.7460756191,4.0024956219512434e-05,0.99999999999999989,1201.7372510566518,4.892,0.95,0.0004342162396873643
1,f6c43c24,54.421965162062463,800927.82907741785,3.4535275741855043e-05,1.0000000000000002,650.23368389684947,2.95,0.943,0.00037936267071320183
1,c49bd5f2,63.371897599495831,613655.54932071955,3.0171928435159116e-05,0.99999999999999989,811.58769565334524,3.516,0.946,0.00042735042735042735
0,a87234b9,57.378664654820696,888847.12720326416,4.7716454651862845e-05,1.0,1810.7748238227352,6.692,0.955,0.0003399626041135475
1,6c905a48,63.085426576733198,1159835.4003031868,2.9313410240712649e-05,1.0,807.541387362553,3.486,0.96,0.0004253509145044662
1,a2a728d6,50.37962829110225,2206206.7224203078,2.7245704997101178e-05,1.0,1072.2515750344237,4.482,0.955,0.00036961744594344855
0,28de1d17,57.918463508165225,1378129.2394853702,3.2415678255416539e-05,1.0,1331.296002177301,5.333,0.944,0.00035618878005342833
0,bee2de18,70.179254869262721,467984.20013947721,2.3593226993920594e-05,0.99999999999999989,615.32608895219471,2.676,0.968,0.000485319097306479
0,379e9548,49.159795266628102,1455210.3102363097,3.8813855055157425e-05,0.99999999999999989,872.26137948207781,3.777,0.941,0.00036343812465927677
1,2d8ace41,53.317738036319859,1422648.8676281408,3.1723127627654086e-05,1.0,1043.1671501008748,4.304,0.957,0.00037016472330186933
0,3a75d8bc,45.739096869176393,917055.35847854812,6.2215410594477082e-06,0.99932721723142393,373.32863422599104,1.755,0.956,0.00039039625219597894
1,08fb43c6,42.408199883548022,1960847.4267663725,1.9435480636139513e-05,1.0000000000000002,679.97155994391812,3.09,0.957,0.00033250207813798836
1,4d57fe03,45.41995208173563,2014335.0803875662,1.0851247657444142e-05,1.0,751.40953413708644,3.426,0.951,0.0003558085749866572
0,7e02f2d0,36.397566239408064,1110901.3776543704,1.1864120248826183e-05,0.90856073989829456,310.97343171474705,1.483,0.966,0.00033886818027787193
0,2951d5a2,58.525873285109483,859512.31652949273,3.7347459091455491e-05,1.0,450.3017252218774,2.01,0.964,0.0004126263668248401
0,67cdcd2f,28.2047010237305,1837081.0750492434,1.7094635946918226e-05,0.77124392368737216,521.19669185293583,2.435,0.957,0.00028260562385191464
0,2f23d622,57.543972452497812,970317.26855085976,1.7010327338583148e-05,0.62872847900898987,854.29371489824632,3.865,0.952,0.0003900916715428126
1,1d500cdf,47.796764732002735,1737072.740983031,2.7922745903311171e-05,1.0,841.63216533477964,3.562,0.962,0.00033189512114171923
0,9f84a328,57.078082557705088,1089347.3743697852,4.5941559217954488e-05,1.0,945.2965103616225,3.717,0.964,0.0003839508542906508
1,79a6f286,41.763778901724145,1472191.0371969121,1.2206867752487199e-05,0.81883609027983084,510.45896526637188,2.418,0.957,0.00035198873636043646
1,8416c38c,51.477191071621213,1495899.1880985633,1.7556136730851907e-05,1.0,618.66241341372245,2.82,0.958,0.00040048057669203043
1,f2bdb041,55.709950156941346,1286206.3737650095,4.5983587586125518e-05,0.99999999999999989,1249.8108785042241,4.836,0.96,0.00037778617302606723
0,3ab15430,49.065959260601055,2430945.2253727154,4.146437114938872e-06,0.86992453773335721,637.09404877298459,2.992,0.966,0.00037509377344336085
0,d8b894c2,54.562299118134582,895343.71411300299,4.7594565044232492e-05,1.0,584.0817890827301,2.538,0.953,0.0004158868787689748
1,29795667,74.632866149286286,456954.29102832585,4.0100915547854847e-05,1.0,859.10457268721518,3.519,0.962,0.0004987531172069825
1,cb639848,50.064539097902745,1592856.5519982635,2.2823021696465613e-05,1.0,733.9604749951917,3.244,0.955,0.0003826286588865506
